PlateName	Well	Content	compoundID_384	compoundID	mol.weight.Structure	Name	SecName	Class	Enzyme	Action	Selectivity	Description	GeneID	Selectivity_updated
P1	L13	sample	79090	79090	455,19272	R(+)-6-Bromo-APB hydrobromide	R(+)-6-Bromo-7,8-dihydroxy-3-allyl-1-phenyl-2,3,4,5-tetrahydro-1H-3-benzazepine hydrobromide	Dopamine		Agonist	D1/D5	D1 Dopamine receptor agonist	79090	dopamine receptor
P1	L14	sample	79170	79170	515,87164	Chloroquine diphosphate		DNA		Intercalator	DNA	Antimalarial; anti-amoebic; anti-inflammatory; binds strongly to double-stranded DNA	79170	DNA_intercalation
P1	L15	sample	79091	79091	347,93235	Biperiden hydrochloride	1-(5-Bicyclo[2.2.1]hept-2-enyl)-1-phenyl-3-(1-piperidinyl)propan-1-ol hydrochloride	Cholinergic		Antagonist	muscarinic	Non-selective muscarinic acetylcholine receptor antagonist; antiparkinsonian	79091	acetylcholine receptor
P1	L16	sample	79171	79171	225,20358	Cystamine dihydrochloride	Decarboxycystine dihydrochloride	Glutamate	Enzyme	Inhibitor	Transglutaminase	Transglutaminase inhibitor; substrate analog	79171	Transglutaminase
P1	L17	sample	79092	79092	369,47049	Cilostazol	OPC 13013; OPC 21; Pletaal	Cyclic Nucleotides	Enzyme	Inhibitor	PDE III	Specific type III phosphodiesterase (PDE) inhibitor	79092	PDE
P1	L18	sample	79172	79172	183,1216	Chelidamic acid	4-Hydroxypyridine-2,6-dicarboxylic acid	Glutamate	Enzyme	Inhibitor	L-glutamic decarboxylase	L-glutamic decarboxylase inhibitor	79172	L-glutamic decarboxylase
P1	L19	sample	79093	79093	290,27523	(+)-Catechin Hydrate	(+)-Cyanidol-3	Cell Stress		Inhibitor	Antioxidant	Antioxidant; free radical scavenger	79093	Antioxidant
P1	L20	sample	79173	79173	313,06687	DSP-4 hydrochloride	N-(2-Chloroethyl)-N-ethyl-2-bromobenzylamine hydrochloride	Adrenoceptor		Neurotoxin		Adrenergic neurotoxin which induces acute and relatively selective degeneration of both central and peripheral noradrenergic terminals in the rat and mouse	79173	NA
P1	L21	sample	79094	79094	346,47085	Corticosterone	Kendall's Compound B; 4-Pregnene-11beta,21-diol-3,20-dione; Reichstein's Substance H	Hormone			Glucocorticoid	Glucocorticoid secreted by the adrenal cortex; activates both mineralcorticoid and glucocorticoid receptors	79094	Glucocorticoid
P1	L22	sample	79174	79174	247,25286	CPCCOEt	7-(Hydroxyimino)cyclopropa[b]chromen-1a-carboxylate ethyl ester	Glutamate		Antagonist	mGluR1	Selective non-competitive mGlu1 glutamate receptor antagonist	79174	glutamate receptor
P1	M01	ctrl PD	ctrl_PD	79902									ctrl PD	MEK
P1	M02	ctrl RAPA	ctrl_RAPA										ctrl RAPA	mTOR
P1	M03	sample	78935	78935	196,68151	Tryptamine hydrochloride	3-(2-Aminoethyl)indole hydrochloride	Serotonin		Ligand		Serotonin receptor ligand	78935	Serotonin
P1	M04	sample	79015	79015	115,13298	L-allylglycine	L-2-Amino-4-pentenoic acid	Biochemistry	Enzyme	Inhibitor	Glutamic acid decarboxylase	Glutamic acid decarboxylase inhibitor	79015	Glutamic acid decarboxylase
P1	M05	sample	78936	78936	270,31216	Arcaine sulfate	N,N'-1,4-Butanediylbis(guanidine) sulfate	Glutamate		Antagonist	NMDA-Polyamine	Potent competitive antagonist of the polyamine site on the NMDA glutmate receptor	78936	NMDA
P1	M06	sample	79016	79016	261,66669	Ancitabine hydrochloride	Cyclocytidine hydrochloride; Cyclo-C	DNA Metabolism		Inhibitor		Antineoplastic	79016	DNA Metabolism
P1	M07	sample	78937	78937	212,20976	4-Amino-1,8-naphthalimide		Apoptosis	Enzyme	Inhibitor	PARP	Poly(ADP-ribose) polymerase (PARP) inhibitor	78937	PARP
P1	M08	sample	79017	79017	596,85804	Astaxanthin	3,3'-Dihydroxy-beta,beta-carotene-4,4'-dione	Cell Stress		Inhibitor	Antioxidant	Potent antioxidant	79017	Antioxidant
P1	M09	sample	78938	78938	183,1018	(+-)-2-Amino-4-phosphonobutyric acid	(+-)-AP-4	Glutamate		Antagonist	NMDA	NMDA glutamate receptor antagonist	78938	NMDA
P1	M10	sample	79018	79018	648,20564	Lercanidipine hydrochloride hemihydrate		Calcium Channel		Antagonist	Cav1.2b	L-type (Cav1.2b) vascular calcium channel antagonist	79018	Ca2+-channel
P1	M11	sample	78939	78939	270,24395	Apigenin	4',5,7-Trihydroxyflavone	Cell Cycle		Inhibitor		Arrests cell cycle at G2/M phase	78939	cell cycle
P1	M12	sample	79019	79019	392,43675	1,3-Dipropyl-8-p-sulfophenylxanthine		Adenosine		Antagonist	A1 > A2	Adenosine receptor antagonist with slight selectivity for A1 over A2	79019	adenosine receptor
P1	M13	sample	78940	78940	161,15591	3-Amino-1-propanesulfonic acid sodium		GABA		Agonist	GABA-A	GABA-A receptor agonist	78940	GABA-A
P1	M14	sample	79020	79020	277,28497	Indirubin-3'-oxime		Phosphorylation	Enzyme	Inhibitor	CDK	Cyclin-dependent kinase inhibitor; ATP competitive; antiproliferative	79020	CDK
P1	M15	sample	78941	78941	169,07471	(+-)-2-Amino-3-phosphonopropionic acid	(+-)-AP-3	Glutamate		Antagonist	NMDA	NMDA glutamate receptor antagonist	78941	NMDA
P1	M16	sample	79021	79021	304,78194	SB 200646 hydrochloride	N-(1-Methyl-1H-indol-5-yl)-N'-3-pyridinyl-urea hydrochloride	Serotonin		Antagonist	5-HT2C/2B	5-HT 2C/2B serotonin receptor antagonist.	79021	serotonin receptor
P1	M17	sample	78942	78942	302,41727	4-Androsten-4-ol-3,17-dione	4-OH-A; 4-Hydroxy-4-androstene-3,17-dione	Hormone	Enzyme	Inhibitor	Aromatase	Aromatase inhibitor	78942	Aromatase
P1	M18	sample	79022	79022	399,41257	AB-MECA	N6-(4-Aminobenzyl)-9-[5-(methylcarbonyl)-beta-D-ribofuranosyl]adenine	Adenosine		Agonist	A3	High affinity A3 adenosine receptor agonist	79022	adenosine receptor
P1	M19	sample	78943	78943	377,49054	GR 46611	3-[3-(2-Dimethylaminoethyl)-1H-indol-5-yl]-N-(4-methoxybenzyl)acrylamide	Serotonin		Agonist	5-HT1D	5-HT1D serotonin receptor agonist.	78943	serotonin receptor
P1	M20	sample	79023	79023	785,05972	ARL 67156 trisodium salt	FPL 67156	P2 Receptor	Enzyme	Inhibitor	ecto-ATPase	ecto-ATPase inhibitor; prevents metabolism of P2 receptor agonists	79023	ecto-ATPase
P1	M21	sample	78944	78944	208,09182	4-Aminobenzamidine dihydrochloride		Biochemistry	Enzyme	Inhibitor	Trypsin	Trypsin inhibitor; competitive kallikrein inhibitor	78944	Trypsin
P1	M22	sample	79024	79024	317,18481	Bromoenol lactone	BEL; E-6-(Bromoethylene)tetrahydro-3-(1-naphthyl)-2H-pyran-2-one	Lipid	Enzyme	Inhibitor	PLA2	Calcium-independent phospholipase A2 inhibitor; magnesium-dependent phosphatidate phosphohydrolase inhibitor	79024	PLA2
P1	M23	ctrl U0126	ctrl_U0126	80091									ctrl U0126	MEK
P1	M24	neg ctr DMSO	neg_ctr_DMSO										neg ctr DMSO	NA
P1	N03	sample	79095	79095	222,30826	L-Buthionine-sulfoximine		Multi-Drug Resistance	Enzyme	Inhibitor		Glutathione synthesis inhibitor	79095	Glutathione synthesis inhibitor
P1	N04	sample	79175	79175	416,94933	Cyproterone acetate	6-Chloro-1beta,2beta-dihydro-17-hydroxy-3'H-cyclopropa(1,2)-pregna-1,4,6-triene-3,20-dione acetate	Hormone		Antagonist	Androgen	Androgen antagonist; synthetic steroid	79175	Androgen
P1	N05	sample	79096	79096	403,01235	Bepridil hydrochloride		Ca2+ Channel		Blocker		Non-selective Ca2+ channel blocker which stimulates the binding of 1,4-dihydropyridine-based drugs to Ca2+ channels; anti-anginal	79096	Ca2+-channel
P1	N06	sample	79176	79176	217,2888	Captopril	(S)-1-(3-Mercapto-2-methyl-1-oxo-propyl)-L-proline	Neurotransmission	Enzyme	Inhibitor	ACE	Angiotensin-converting enzyme (ACE) inhibitor; antihypertensive	79176	ACE
P1	N07	sample	79097	79097	421,97449	Buspirone hydrochloride		Serotonin		Agonist	5-HT1A	5-HT1A Serotonin receptor agonist; non-benzodiazepine anxiolytic	79097	serotonin receptor
P1	N08	sample	79177	79177	311,85804	Cyclobenzaprine hydrochloride	5-(3-Dimethylaminopropylidene)dibenzo[a,e]cycloheptatriene hydrochloride	Serotonin		Antagonist	5-HT2	5-HT2 serotonin receptor antagonist	79177	serotonin receptor
P1	N09	sample	79098	79098	425,91911	Alfuzosin hydrochloride	Uroxatral hydrochloride, N-(3-((4-Amino-6,7-dimethoxy-2-quinazolinyl)methylamino)propyl)tetrahydro-2-furancarboxamide hydrochloride	Adrenoceptor		Blocker		alpha-adrenergic blocker used to treat benign prostatic hyperplasia (BPH)	79098	NA
P1	N10	sample	79178	79178	196,67874	Bethanechol chloride	Carbamyl-beta-methylcholine chloride	Cholinergic		Agonist	Muscarinic	Muscarinic acetylcholine receptor agonist; resistant to acetylcholinesterase and non-specific cholinesterases	79178	acetylcholine receptor
P1	N11	sample	79099	79099	397,92443	Benoxathian hydrochloride	2-[[[2-(2,6-Dimethoxyphenoxy)ethyl]-amino]-methyl]-1,4-benzoxanthian hydrochloride	Adrenoceptor		Antagonist	alpha1	Selective alpha1 adrenoceptor antagonist	79099	adrenoceptor
P1	N12	sample	79179	79179	256,69363	7-Chloro-4-hydroxy-2-phenyl-1,8-naphthyridine		Adenosine		Antagonist	A1	A1 adenosine receptor antagonist	79179	adenosine receptor
P1	N13	sample	79100	79100	335,94277	BTCP hydrochloride		Dopamine		Blocker	Reuptake	Selective blocker of dopamine reuptake	79100	dopamine
P1	N14	sample	79180	79180	242,70455	Clofibrate		Lipid	Enzyme	Modulator	Lipoprotein lipase	Antihyperlipoproteinemic; increases lipoprotein lipase activity, thus enhancing the rate of intravascular catabolism of ULDL to IDL and LDL	79180	Lipoprotein lipase
P1	N15	sample	79101	79101	304,21903	Chlorambucil	4-[Bis(2-chloroethyl)amino]benzenebutyric acid	DNA		Intercalator		DNA crosslinker; induces apoptosis	79101	Intercalator
P1	N16	sample	79181	79181	351,32253	Clomipramine hydrochloride	Anafranil hydrochloride; Chloripramine	Serotonin		Inhibitor	Reuptake	Serotonin reuptake inhibitor; antidepressant	79181	serotonin
P1	N17	sample	79102	79102	194,1945	Caffeine	1,3,7-Trimethylxanthine	Adenosine	Enzyme	Inhibitor	Phosphodiesterase	Phosphodiesterase inhibitor; central stimulant	79102	Phosphodiesterase
P1	N18	sample	79182	79182	335,36572	N6-Cyclopentyladenosine	CPA	Adenosine		Agonist	A1	Selective A1 adenosine receptor agonist	79182	adenosine receptor
P1	N19	sample	79103	79103	276,74371	Chlorpropamide		Hormone		Releaser	Insulin	Stimulates insulin release	79103	Insulin
P1	N20	sample	79183	79183	262,2239	Cinoxacin	1-Ethyl-1,4-dihydro-4-oxo[1,3]dioxolo[4,5-g]cinnoline-3-carboxylic acid	Antibiotic	Enzyme	Inhibitor		Quinolone antibacterial; enzyme inhibitor	79183	NA
P1	N21	sample	79104	79104	371,26354	Carboplatin	cis-Diammine(1,1-cyclobutanedicarboxylato) platinum	DNA		Intercalator		Antineoplastic	79104	Intercalator
P1	N22	sample	79184	79184	399,44765	Colchicine		Cytoskeleton and ECM		Inhibitor	Tubulin	Prevents tubulin polymerization	79184	Tubulin
P1	O03	sample	78945	78945	179,15207	5-Fluoroindole-2-carboxylic acid		Glutamate		Antagonist	NMDA-Glycine	Competitive inhibitor of potentiation by glycine at the NMDA glutamate receptor	78945	NMDA
P1	O04	sample	79025	79025	202,6857	ABT-418 hydrochloride	3-Methyl-5-[(2S)-1-methyl-2-pyrrolidinyl]isoxazole hydrochloride	Cholinergic		Agonist	nicotinic	Neuronal nicotinic acetylcholine receptor agonist with cognition enhancing and anxiolytic activities	79025	acetylcholine receptor
P1	O05	sample	78946	78946	137,56686	1-Aminocyclopropanecarboxylic acid hydrochloride	ACPC	Glutamate		Agonist	NMDA-Glycine	NMDA glutamate receptor agonist acting at the glycine site	78946	NMDA
P1	O06	sample	79026	79026	285,81703	Alprenolol hydrochloride		Adrenoceptor		Antagonist	beta	beta Adrenoceptor antagonist	79026	adrenoceptor
P1	O07	sample	78947	78947	608,69475	Reserpine	Methyl reserpate; 3,4,5-Trimethoxybenzoic acid ester	Serotonin		Inhibitor	Uptake	Inhibits vesicular catecholine and serotonin uptake.	78947	Serotonin
P1	O08	sample	79027	79027	272,69303	N-(4-Amino-2-chlorophenyl)phthalimide		Anticonvulsant				Potent anticonvulsant	79027	NA
P1	O09	sample	78948	78948	361,52915	N-arachidonylglycine	NAGly	Cannabinoid	Enzyme	Inhibitor	FAAH	Arachidonyl amino acid which inhibits pain; inhibits the hydrolytic activity of fatty acid amide hydrolase (FAAH) on anandamide	78948	FAAH
P1	O10	sample	79028	79028	429,92885	Amsacrine hydrochloride	m-AMSA hydrochloride	DNA Repair	Enzyme	Inhibitor	TopoII	DNA topoisomerase II inhibitor	79028	Topo II
P1	O11	sample	78949	78949	397,99289	(+)-Butaclamol hydrochloride		Dopamine		Antagonist		Dopamine receptor antagonist	78949	dopamine receptor
P1	O12	sample	79029	79029	641,20453	2-Methylthioadenosine triphosphate tetrasodium	2-Methylthio ATP tetrasodium	P2 Receptor		Agonist	P2Y	P2Y receptor agonist	79029	P2 receptor
P1	O13	sample	78950	78950	303,79151	Apomorphine hydrochloride hemihydrate	10,11-Dihydroxyaporphine hydrochloride hemihydrate	Dopamine		Agonist		Non-selective dopamine receptor agonist	78950	dopamine receptor
P1	O14	sample	79030	79030	266,34304	S(-)-Atenolol		Adrenoceptor		Antagonist	beta1	beta1 adrenoceptor antagonist	79030	adrenoceptor
P1	O15	sample	78951	78951	174,20408	L-Arginine		Nitric Oxide		Precursor		Nitric oxide precursor	78951	NO
P1	O16	sample	79031	79031	305,28656	AS-252424	5-[[5-(4-Fluoro-2-hydroxyphenyl)-2-furanyl]methylene]-2,4-thiazolidinedione	Phosphorylation	Enzyme	Inhibitor	PI3Kgamma	A potent and selective phosphoinositide 3-kinase PI3Kgamma inhibitor.	79031	PI3K
P1	O17	sample	78952	78952	281,01322	2-(2-Aminoethyl)isothiourea dihydrobromide	AET; S-(2-Aminoethyl)isothiouronium dihydrobromide	Nitric Oxide	Enzyme	Inhibitor	NOS	Inhibits constitutive and inducible nitric oxide synthase (NOS)	78952	NOS
P1	O18	sample	79032	79032	214,18492	Alloxazine	Isoalloxazine	Adenosine		Antagonist	A2b	Selective A2b adenosine receptor antagonist	79032	adenosine receptor
P1	O19	sample	78953	78953	265,71729	2-Hydroxysaclofen	(+-)-3-Amino-2-(4-chlorophenyl)-2-hydroxy-propylsulfonic acid	GABA		Antagonist	GABA-B	GABA-B receptor antagonist	78953	GABA-B
P1	O20	sample	79033	79033	408,92643	Beclomethasone	9alpha-Chloro-16beta-methyl-1,4-pregnadiene-11beta,17alpha,21-triol-3,20-dione	Hormone			Glucocorticoid	Anti-inflammatory glucocorticoid	79033	Glucocorticoid
P1	O21	sample	78954	78954	139,09185	3-Aminopropylphosphonic acid		GABA		Agonist	GABA-B	GABA-B receptor agonist	78954	GABA-B
P1	O22	sample	79034	79034	121,13994	Benzamide	Benzoylamide	Apoptosis	Enzyme	Inhibitor	PARS	Inhibitor of Poly(ADP-ribose) synthetase which is activated by nitric oxide; neuroprotective agent	79034	PARS
P1	P03	sample	79105	79105	222,30826	DL-Buthionine-[S,R]-sulfoximine		Multi-Drug Resistance	Enzyme	Inhibitor		Glutathione synthesis inhibitor	79105	Glutathione synthesis inhibitor
P1	P04	sample	79185	79185	250,12661	DL-p-Chlorophenylalanine methyl ester hydrochloride		Neurotransmission	Enzyme	Inhibitor	Tryptophan hydroxylase	Tryptophan hydroxylase inhibitor	79185	Tryptophan hydroxylase
P1	P05	sample	79106	79106	435,32131	(+)-Brompheniramine maleate	Dexbrompheniramine maleate	Histamine		Antagonist	H1	H1 Histamine receptor antagonist	79106	Histamine receptor
P1	P06	sample	79186	79186	339,87144	CNS-1102	N-(3-Ethylphenyl)-N-methyl-Nê-1-naphthalenylguanidine monohydrochloride; Cerestat; Aptiganel hydrochloride	Glutamate		Antagonist	NMDA	Noncompetitive NMDA glutamate receptor antagonist.	79186	NMDA
P1	P07	sample	79107	79107	293,70912	Benserazide hydrochloride	DL-Serine, 2-[(2,3,4-trihydroxyphenyl)methyl]hydrazide hydrochloride	Biochemistry	Enzyme	Inhibitor	Decarboxylase	Peripheral decarboxylase inhibitor	79107	Decarboxylase
P1	P08	sample	79187	79187	525,60143	Carbetapentane citrate	1-Phenyl-cyclopentanecarboxylic acid 2-[2-(Diethylamino)ethoxy]ethyl ester citrate	Opioid		Ligand	sigma1	Opioid receptor ligand with high affinity toward sigma1 sites; antitussive	79187	sigma1
P1	P09	sample	79108	79108	244,27099	BRL 50481	5-Nitro-2,N,N-trimethylbenzenesulfonamide	Phosphodiesterase	Enzyme	Inhibitor	PDE7	Phosphodiesterase 7 (PDE7) inhibitor	79108	PDE
P1	P10	sample	79188	79188	368,52646	Cinnarizine	1-trans-Cinnamyl-4-diphenylmethylpiperazine	Ca2+ Channel		Blocker		Ca2+ channel blocker; central and peripheral vasodilator	79188	Ca2+-channel
P1	P11	sample	79109	79109	340,29611	Phenoxybenzamine hydrochloride		Adrenoceptor		Blocker	alpha	Selective alpha adrenoceptor blocking agent; calmodulin antagonist	79109	adrenoceptor
P1	P12	sample	79189	79189	344,84719	Clotrimazole	1-(o-Chlorotrityl)imidazole	K+ Channel		Inhibitor	Ca2+-activated K+ channel	Specific inhibitor of Ca2+-activated K+ channels	79189	Ca2+ activated K+ channel
P1	P13	sample	79110	79110	329,36145	DAPH	4,5-Dianilinophthalimide; CGP 52411	Phosphorylation	Enzyme	Inhibitor	EGFR	Protein tyrosine kinase inhibitor, specific for EGFR; Also inhibits amyloid beta fibril formation.	79110	EGFR
P1	P14	sample	79190	79190	279,68203	Cytosine-1-beta-D-arabinofuranoside hydrochloride	Arabinocytidine hydrochloride; Arabinosylcytosine hydrochloride; Ara-C hydrochloride	DNA Metabolism		Inhibitor		Selective inhibitor of DNA synthesis	79190	DNA Metabolism
P1	P15	sample	79111	79111	201,22697	Supercinnamaldehyde	1,3-Dihydro-1-methyl-3-(2-oxopropylidene)-2H-indole-2-one	Ion Channels		Activator	TRPA1	Transient receptor potential ankyrin 1 (TRPA1) receptor activator; covalently modifies cysteines to acitvate channel.	79111	TRPA1
P1	P16	sample	79191	79191	523,63474	Calcimycin	A23187; Calcium ionophore A23187	Intracellular Calcium			Ca2+	Ca2+ ionophore used to potentiate responses to NMDA, but not quisqualate glutamate receptors	79191	Ca2+
P1	P17	sample	79112	79112	261,0896	Cyclophosphamide monohydrate	2-[Bis(2-chloroethyl)amino]tetrahydro-2H-1,3,2-oxazaphosphorine 2-oxide	DNA		Intercalator		Cancer chemotherapeutic; cross-links DNA	79112	Intercalator
P1	P18	sample	79192	79192	214,22008	Cantharidic Acid		Phosphorylation	Enzyme	Inhibitor	PP1 / PP2A	Protein phosphatase 1 (PP1) and 2A (PP2A) inhibitor	79192	PP2A
P1	P19	sample	79113	79113	343,81321	1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid		Multi-Drug Resistance		Inhibitor	MRP1	NSAID; putative inhibitor of multidrug resistance-associated protein 1 (MRP1)	79113	MRP1
P1	P20	sample	79193	79193	260,33608	Carisoprodol		Neurotransmission			Skeletal muscle	Skeletal muscle relaxant	79193	Skeletal muscle
P1	P21	sample	79114	79114	360,45431	Cortisone	Kendall's Compound E; 4-Pregnene-17alpha,21-diol-3,11,20-trione; Reichstein's Substance Fa	Hormone			Corticosteroid	Anti-inflammatory; corticosterone analog	79114	Corticosteroid
P1	P22	sample	79194	79194	274,25393	L-Canavanine sulfate	L-alpha-Amino-gamma-(guanidinooxy)butyric acid sulfate	Nitric Oxide	Enzyme	Inhibitor	iNOS	Selective inhibitor of inducible nitric oxide synthase (iNOS)	79194	iNOS
P2	A03	sample	79195	79195	389,88232	Cyclothiazide	6-Chloro-3,4-dihydro-3-(2-norbornen-5-yl)-2H-1,2-4-benzothiadiazine-7-sulfonamide 1,1-dioxide	Glutamate		Agonist	AMPA	Blocks the rapid desensitization of AMPA glutamate receptors	79195	AMPA
P2	A04	sample	79275	79275	360,35061	PD 169316	4-(4-Fluorophenyl)-2-(4-nitrophenyl)-5-(4-pyridyl)-1H-imidazole	Phosphorylation	Enzyme	Inhibitor	p38 MAP kinase	Potent, cell permeable and selective p38 MAP kinase inhibitor; nM potency	79275	p38/MPKKK
P2	A05	sample	79196	79196	252,20889	(+-)-CPP	(+-)-3-(2-Carboxypiperazin-4-yl)propyl-1-phosphonic acid	Glutamate		Antagonist	NMDA	Potent and selective NMDA glutamate receptor antagonist; anticonvulsant	79196	NMDA
P2	A06	sample	79276	79276	339,48478	Disopyramide	alpha-Diisopropylaminoethyl-alpha-phenylpyridine-2-acetamide	Na+ Channel		Blocker		Sodium channel blocker; class IA antiarrhythmic	79276	Na+-channel
P2	A07	sample	79197	79197	535,99185	CGS-21680 hydrochloride	2-p-(2-Carboxyethyl)phenethylamino-5'-N-ethylcarboxamidoadenosine hydrochloride	Adenosine		Agonist	A2a	A2a adenosine receptor agonist.	79197	adenosine receptor
P2	A08	sample	79277	79277	168,15341	Dephostatin	2-(N-methyl-N-nitroso)hydroquinone	Phosphorylation	Enzyme	Inhibitor	CD45 Tyrosine Kinase	CD45 protein tyrosine kinase inhibitor	79277	CD45 Tyrosine Kinase
P2	A09	sample	79198	79198	285,69461	CGS-15943	9-Chloro-2-(2-furyl)[1,2,4]triazolo[1,5-c]quinazolin-5-amine	Adenosine		Antagonist	A1	Highly potent, non-selective A1 adenosine receptor antagonist	79198	adenosine receptor
P2	A10	sample	79278	79278	230,67419	Diazoxide		K+ Channel		Activator	ATP-sensitive	Activator of ATP-dependent K+ channels in both vascular smooth muscle and pancreatic beta-cells; antihypertensive	79278	K+ channel
P2	A11	sample	79199	79199	544,73936	Chloro-IB-MECA	2-Chloro-N6-(3-iodobenzyl)-adenosine-5'-N-methyluronamide	Adenosine		Agonist	A3	A3 adenosine receptor agonist	79199	adenosine receptor
P2	A12	sample	79279	79279	480,90615	Doxycycline hydrochloride		Antibiotic			Protein synthesis	 6-deoxytetracycline antibiotic; interferes with protein synthesis	79279	Protein synthesis
P2	A13	sample	79200	79200	448,54796	Debrisoquin sulfate	3,4-Dihydro-2(1H)-isoquinolinecarboximidamide sulfate; Ro 5-33071	Neurotransmission		Antihypertensive		Antihypertensive; metabolized to tetrahydroisoquinoline (TIQ) which may play a role in the induction of Parkinson's Disease	79200	NA
P2	A14	sample	79280	79280	374,28075	R(-)-N-Allylnorapomorphine hydrobromide		Dopamine		Agonist		Dopamine receptor agonist	79280	dopamine receptor
P2	A15	sample	79201	79201	450,98849	Diltiazem hydrochloride		Ca2+ Channel		Antagonist	L-type	Ca2+ channel antagonist selective for slow, or L-type, channels; stimulates 1,4-dihydropyridine binding to Ca2+ channels; coronary vasodilator	79201	Ca2+-channel
P2	A16	sample	79281	79281	451,35127	4-DAMP methiodide	4-Diphenylacetoxy-N-methylpiperidine methiodide	Cholinergic		Antagonist	M3	M3 muscarinic acetylcholine receptor antagonist.	79281	muscarinic acetylcholine receptor
P2	A17	sample	79202	79202	183,16523	(S)-3,5-Dihydroxyphenylglycine	S-DHPG	Glutamate		Agonist	mGluR1	Group I metabotropic glutamate receptor (mGluR1) agonist	79202	glutamate receptor
P2	A18	sample	79282	79282	403,48238	N,N-Dipropyl-5-carboxamidotryptamine maleate		Serotonin		Agonist	5-HT1A	Selective 5-HT1A serotonin receptor agonist	79282	serotonin receptor
P2	A19	sample	79203	79203	274,25692	Phenytoin sodium	5,5-Diphenylhydantoin sodium	Anticonvulsant				Anticonvulsant; anti-epileptic	79203	NA
P2	A20	sample	79283	79283	362,35409	Anisotropine methyl bromide	8-Methyl-3-(2-propylpentanoyloxy)tropinium bromide	Muscarinic		Antagonist		is a muscarinic antagonist and antispasmodic	79283	NA
P2	A21	sample	79204	79204	178,14577	Daphnetin	7,8-Dihydroxycoumarin	Phosphorylation	Enzyme	Inhibitor	PK	Protein kinase (PK) inhibitor	79204	PK
P2	A22	sample	79284	79284	248,30564	Enoximone	1,3-Dihydro-4-methyl-5-[4-methylthiobenzoyl]-2H-imidazol-2-one	Cyclic Nucleotides	Enzyme	Inhibitor	PDE III	Selective phosphodiesterase III (PDE III) inhibitor	79284	PDE
P2	B03	sample	79355	79355	359,7282	SB 415286	3-[(3-Chloro-4-hydroxyphenyl)amino]-4-(2-nitrophenyl)-1H-pyrrol-2,5-dione	Phosphorylation	Enzyme	Inhibitor	GSK-3	Competitive glycogen synthase kinase-3 (GSK-3) inhibitor.	79355	GSK-3
P2	B04	sample	79435	79435	163,6051	Isoguvacine hydrochloride	1,2,3,6-Tetrahydro-4-pyridinecarboxylic acid hydrochloride	GABA		Agonist	GABA-A, GABA-C	GABA-A receptor agonist	79435	GABA-A, GABA-C
P2	B05	sample	79356	79356	311,34611	Staurosporine aglycone	K-252c	Phosphorylation	Enzyme	Inhibitor	PKC	K-252c is a PKC inhibitor active at submicromolar concentrations. 	79356	PKC
P2	B06	sample	79436	79436	426,49504	Paliperidone	3-[2-[4-(6-Fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]ethyl]-6,7,8,9-tetrahydro-9-hydroxy-2-methyl-4H-pyrido[1,2-a]pyrimidin-4-one	Neurotransmission		Antipsychotic		Atypical antipsychotic; active metabolite of risperidone.	79436	NA
P2	B07	sample	79357	79357	275,35352	(-)-Physostigmine	Eserine	Cholinergic	Enzyme	Inhibitor	Cholinesterase	Cholinesterase inhibitor	79357	Cholinesterase
P2	B08	sample	79437	79437	454,52488	MHPG piperazine	MOPEG piperazine	Adrenoceptor		Metabolite		Norepinephrine metabolite	79437	NA
P2	B09	sample	79358	79358	377,31437	S-(-)-Eticlopride hydrochloride	FLB 131	Dopamine		Antagonist	D2	Potent and selective D2 dopamine receptor antagonist	79358	dopamine receptor
P2	B10	sample	79438	79438	149,10409	DL-threo-beta-hydroxyaspartic acid	threo-2-Amino-3-hydroxysuccinic acid	Glutamate		Inhibitor	Transport	Glutamate transport inhibitor	79438	Glutamate
P2	B11	sample	79359	79359	350,46749	UCL 2077	(3-Triphenylmethylaminomethyl)pyridine	Ion Channels		Blocker	sAHP	Slow afterhyperpolarization (sAHP) channel blocker.	79359	sAHP
P2	B12	sample	79439	79439	330,47145	17alpha-hydroxyprogesterone	17alpha-Hydroxy-4-pregnene-3,20-dione	Hormone		Metabolite	Progesterone	Metabolite of progesterone	79439	Progesterone
P2	B13	sample	79360	79360	360,84097	Fenofibrate	2-[4-(4-Chlorobenzoyl)phenoxy]-2-methylpropanoic acid 1-methyl-ethyl ester	Transcription		Agonist	PPAR-alpha	PPAR-alpha receptor agonist; lipid regulating drug	79360	PPAR
P2	B14	sample	79440	79440	191,6185	L-Histidine hydrochloride	S(+)-alpha-Amino-1H-imidazole-4-propanoic acid hydrochloride	Histamine		Precursor		Histamine precursor	79440	NA
P2	B15	sample	79361	79361	410,51208	Forskolin		Cyclic Nucleotides	Enzyme	Activator	Adenylate cyclase	Activates adenylate cyclase; antihypertensive and vasodilator; isolated from Coleus forskohlii	79361	Adenylate cyclase
P2	B16	sample	79441	79441	289,37776	L-Hyoscyamine	[3(S)-endo]-alpha-(Hydroxymethyl)benzeneacetic acid 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester	Cholinergic		Antagonist		Competitive antagonist at post-ganglionic synapses and on smooth muscle	79441	NA
